customer_id,first_name,last_name,city,signup_date,total_orders,lifetime_spend,confirmed_paid,last_order_date
C00283,Nikhil,Nair,Ahmedabad,2024-03-04,12,757550.0199999999,2661353.1100000003,2024-12-31
C00111,Arjun,Kapoor,Jaipur,2023-08-05,12,753754.1099999999,1637391.5699999998,2024-12-22
C00082,Kabir,Joshi,Kolkata,2024-04-17,10,749664.4199999999,1497520.9400000002,2024-12-20
C00196,Sara,Reddy,Hyderabad,2024-08-26,9,747508.36,1079482.48,2024-12-19
C00295,Sara,Mehta,Bhubaneswar,2023-02-08,12,743581.0299999999,2015059.3400000003,2024-11-22
C00255,Tara,Chatterjee,Kolkata,2024-02-24,10,741671.5299999998,2222872.6999999997,2024-10-14
C00328,Karan,Kapoor,Delhi,2023-03-22,13,740266.34,1830225.78,2024-11-02
C00330,Sneha,Iyer,Bhubaneswar,2024-05-05,10,723128.7500000001,1050547.0100000002,2024-10-10
C00339,Diya,Mehta,Bhubaneswar,2023-02-04,10,717742.3799999999,2344443.2100000004,2024-12-22
C00145,Nikhil,Malhotra,Ahmedabad,2023-10-22,9,710308.33,2192305.3599999994,2024-12-12
C00008,Sara,Joshi,Mumbai,2023-04-14,10,708953.75,1305504.5499999998,2024-11-30
C00199,Pooja,Patel,Kolkata,2024-11-02,9,707925.2699999999,2043657.9,2024-11-04
C00392,Pooja,Sharma,Jaipur,2024-01-03,13,703685.5500000002,747632.8899999998,2024-12-31
C00306,Kabir,Singh,Jaipur,2024-09-12,11,696393.31,1957264.5600000003,2024-10-27
C00219,Priya,Kapoor,Jaipur,2024-08-07,10,696184.17,1276270.8,2024-12-29
C00006,Nikhil,Mehta,Ahmedabad,2023-05-08,12,696151.4600000001,1875525.9299999997,2024-12-27
C00398,Anaya,Joshi,Bengaluru,2023-02-03,14,696057.6199999999,1106262.1999999997,2024-10-01
C00035,Dev,Sharma,Chennai,2024-02-04,9,692715.63,608811.62,2024-12-25
C00161,Tara,Das,Chennai,2023-06-08,7,691235.33,2047810.0100000002,2024-09-12
C00213,Aarav,Nair,Kolkata,2023-11-13,11,688025.5999999999,1649283.1600000001,2024-12-08
C00263,Pooja,Kapoor,Pune,2023-02-01,12,684451.1500000003,1733213.4100000001,2024-12-27
C00246,Diya,Das,Bengaluru,2023-06-07,10,679224.34,1645631.52,2024-11-15
C00239,Dev,Rao,Kolkata,2024-03-26,10,677932.45,2239028.3300000005,2024-12-13
C00275,Sneha,Nair,Bhubaneswar,2023-05-28,10,677797.5499999999,1028205.4899999999,2024-12-15
C00088,Anaya,Verma,Chennai,2024-08-15,8,676952.8800000001,2051624.6099999999,2024-07-24
C00266,Priya,Reddy,Kolkata,2023-05-14,8,676132.32,1582596.43,2024-10-26
C00367,Kabir,Gupta,Mumbai,2023-11-25,10,674634.0799999998,1705907.0699999998,2024-11-27
C00245,Diya,Patel,Ahmedabad,2023-03-10,8,672629.8200000001,1611633.0499999998,2024-08-23
C00061,Priya,Reddy,Pune,2023-03-13,8,672245.2799999999,2168716.15,2024-12-17
C00203,Diya,Nair,Jaipur,2023-10-21,13,667486.4900000001,1442756.5099999998,2024-09-11
C00105,Anaya,Rao,Bhubaneswar,2023-05-10,11,661128.2500000001,1927306.4100000001,2024-09-18
C00028,Aditya,Iyer,Ahmedabad,2023-10-13,11,653359.6699999998,1801515.930000001,2024-08-14
C00225,Isha,Joshi,Kolkata,2024-10-27,11,649419.39,1546875.3999999997,2024-11-12
C00015,Aditya,Singh,Chennai,2023-04-04,8,644422.7900000003,1805544.21,2024-12-05
C00315,Kabir,Kapoor,Mumbai,2023-12-23,8,641451.25,1686247.1099999999,2024-12-18
C00020,Pooja,Iyer,Jaipur,2023-06-06,9,640748.9300000002,1974512.4400000004,2024-12-13
C00254,Pooja,Malhotra,Jaipur,2023-03-30,9,638545.34,1559255.7500000002,2024-10-29
C00280,Pooja,Singh,Delhi,2023-09-29,11,638521.2499999999,960980.56,2024-09-14
C00348,Rohan,Singh,Bengaluru,2024-03-20,10,633825.8200000001,1777229.65,2024-12-19
C00170,Rohan,Singh,Delhi,2024-04-04,7,630913.22,1367085.8699999999,2024-11-29
C00351,Karan,Sharma,Chennai,2023-08-01,8,629384.1699999999,1380474.23,2024-09-26
C00259,Anaya,Joshi,Pune,2023-03-22,7,626128.43,2111536.57,2024-10-24
C00270,Dev,Mehta,Pune,2024-04-13,9,621016.58,1297005.36,2024-09-23
C00007,Priya,Das,Bengaluru,2023-07-16,9,619501.82,476397.33999999985,2024-10-02
C00214,Arjun,Iyer,Jaipur,2023-05-21,8,616802.3700000001,2120533.250000001,2024-12-29
C00076,Arjun,Verma,Delhi,2024-02-29,10,613292.4700000001,1927002.8399999996,2024-10-29
C00146,Anaya,Kapoor,Chennai,2024-03-10,8,613025.28,1376187.1599999997,2024-11-01
C00378,Aditya,Patel,Bengaluru,2023-12-20,11,611633.6100000001,838136.0499999999,2024-12-04
C00108,Kabir,Patel,Chennai,2024-07-30,10,610255.23,1883092.5999999996,2024-10-31
C00399,Sara,Iyer,Mumbai,2024-08-25,10,605064.4700000001,1379251.0299999996,2024-11-18
C00126,Sneha,Patel,Ahmedabad,2023-10-22,8,603451.8199999998,1272535.1800000002,2024-10-13
C00372,Kabir,Kapoor,Chennai,2023-11-07,9,603242.5399999999,1373329.4500000002,2024-11-15
C00078,Aarav,Nair,Jaipur,2023-11-02,9,600623.9399999998,1700646.7499999998,2024-12-29
C00123,Diya,Singh,Chennai,2023-04-01,11,599627.9599999998,1206308.2100000002,2024-12-14
C00099,Nikhil,Chatterjee,Pune,2023-01-18,11,598664.36,1341128.8199999998,2024-09-03
C00134,Sara,Joshi,Chennai,2024-02-25,10,598129.0099999999,1170736.7600000002,2024-12-19
C00382,Sara,Mehta,Kolkata,2023-06-28,9,593591.5700000001,1308290.57,2024-12-31
C00313,Sneha,Sharma,Mumbai,2023-03-12,10,593211.96,1464324.8800000001,2024-12-12
C00116,Pooja,Rao,Chennai,2024-08-05,10,592280.3200000001,1284193.1699999997,2024-12-01
C00040,Rahul,Das,Hyderabad,2024-06-19,10,588243.03,1487570.13,2024-09-04
C00320,Diya,Reddy,Bhubaneswar,2024-03-25,9,587889.0,1180658.2000000002,2024-10-01
C00139,Dev,Nair,Delhi,2024-10-03,9,586764.9499999997,1451059.7299999997,2024-12-10
C00014,Sneha,Gupta,Mumbai,2024-08-21,10,584426.66,1745359.0399999996,2024-11-29
C00159,Tara,Verma,Bengaluru,2023-05-24,11,582966.4,1659961.3499999999,2024-12-15
C00359,Isha,Patel,Chennai,2023-03-31,8,581561.77,1102312.2399999998,2024-08-03
C00107,Riya,Verma,Bhubaneswar,2023-03-08,9,581403.27,1684715.29,2024-11-01
C00100,Rahul,Nair,Jaipur,2024-04-29,8,577369.07,1388157.4100000001,2024-12-10
C00121,Rohan,Singh,Mumbai,2023-12-23,8,577239.03,1904529.1899999997,2024-11-30
C00264,Riya,Iyer,Mumbai,2024-12-02,9,577012.4,1415122.7599999998,2024-10-05
C00127,Sara,Rao,Delhi,2023-06-12,11,572440.9500000001,1539191.8499999996,2024-11-25
C00110,Anaya,Joshi,Bengaluru,2024-08-25,10,571252.8600000001,979626.23,2024-11-30
C00294,Anaya,Nair,Ahmedabad,2023-10-20,8,568244.23,1154268.3399999999,2024-10-26
C00084,Riya,Sharma,Bengaluru,2024-07-06,9,567468.39,1628600.2299999997,2024-09-01
C00080,Karan,Kapoor,Ahmedabad,2024-11-26,6,566796.0799999998,1241512.3299999998,2024-10-19
C00128,Isha,Singh,Pune,2023-05-01,8,566191.13,413742.92000000004,2024-12-29
C00181,Arjun,Patel,Jaipur,2024-11-03,9,565797.3800000001,989260.1299999999,2024-10-30
C00247,Rahul,Patel,Bengaluru,2024-06-26,10,565771.8999999999,699878.05,2024-11-14
C00332,Pooja,Rao,Pune,2023-07-29,8,559158.2200000001,1644992.5199999998,2024-03-05
C00289,Priya,Chatterjee,Kolkata,2023-05-30,10,555179.9199999999,1492897.31,2024-10-17
C00273,Rahul,Mehta,Kolkata,2023-07-19,11,553897.16,1506190.9599999995,2024-12-26
C00220,Aditya,Reddy,Bhubaneswar,2023-06-15,11,551454.84,1467749.7800000005,2024-11-19
C00241,Pooja,Joshi,Pune,2023-07-04,10,550373.95,647848.7999999999,2024-09-30
C00376,Karan,Chatterjee,Jaipur,2024-03-16,7,548320.0000000001,1343296.3000000003,2024-06-09
C00223,Rohan,Malhotra,Chennai,2023-08-16,10,547970.96,1036854.1299999999,2024-08-15
C00278,Rahul,Nair,Kolkata,2024-06-03,11,546890.01,1149367.0499999998,2024-12-20
C00054,Vihaan,Patel,Delhi,2024-12-19,7,545683.04,1411091.7899999996,2024-09-17
C00066,Rohan,Gupta,Delhi,2024-06-11,8,542024.82,1479489.3699999996,2024-08-23
C00163,Isha,Kapoor,Chennai,2024-01-12,9,539794.46,623925.6199999999,2024-12-18
C00202,Vihaan,Das,Bhubaneswar,2023-02-27,7,535207.39,1322048.4000000001,2024-09-17
C00075,Karan,Nair,Mumbai,2024-07-07,8,535204.4400000002,1232063.99,2024-08-16
C00138,Pooja,Rao,Jaipur,2024-02-12,7,535004.06,1415966.9800000002,2024-08-07
C00229,Nikhil,Verma,Ahmedabad,2023-04-24,8,533982.03,1049498.0100000002,2024-11-03
C00049,Tara,Mehta,Jaipur,2023-01-10,9,533781.7899999999,1030410.41,2024-10-12
C00215,Aditya,Sharma,Chennai,2024-11-08,10,531066.98,1593518.3000000003,2024-10-23
C00368,Dev,Nair,Hyderabad,2023-10-26,6,524322.61,1179519.4700000002,2024-11-11
C00197,Sara,Nair,Delhi,2023-06-22,9,523805.17000000004,1050034.54,2024-12-27
C00271,Riya,Das,Chennai,2024-10-31,10,522813.81999999995,1225313.4899999998,2024-12-23
C00016,Pooja,Verma,Jaipur,2024-01-30,9,522047.70999999996,1127956.0999999999,2024-11-18
C00243,Priya,Das,Bengaluru,2024-03-21,7,521585.49,455808.99,2024-12-26
C00301,Aditya,Nair,Kolkata,2023-03-30,7,518876.88999999996,1465297.1500000004,2024-09-29
C00353,Karan,Reddy,Chennai,2023-05-24,8,517652.55999999994,1476350.6499999997,2024-10-19
C00253,Aarav,Nair,Mumbai,2024-07-21,7,511754.1700000001,1213785.84,2024-11-07
C00089,Dev,Rao,Bengaluru,2023-07-23,8,509417.30000000005,1238301.0399999998,2024-12-05
C00331,Arjun,Malhotra,Delhi,2023-07-14,11,509026.0300000001,843789.8699999999,2024-12-29
C00284,Riya,Joshi,Kolkata,2023-03-05,8,508905.11000000016,1018934.3299999998,2024-12-28
C00173,Rohan,Malhotra,Ahmedabad,2023-03-24,5,508374.0199999999,1110638.8099999998,2024-10-20
C00329,Diya,Gupta,Ahmedabad,2024-01-22,7,507886.92000000004,1081112.4199999997,2024-06-24
C00337,Riya,Mehta,Kolkata,2024-11-01,12,507706.51999999996,411607.59,2024-11-06
C00394,Riya,Patel,Bhubaneswar,2023-03-26,12,507415.1899999998,1476276.06,2024-10-31
C00228,Anaya,Iyer,Ahmedabad,2023-11-05,8,507357.46000000014,1279741.8800000004,2024-08-11
C00094,Nikhil,Reddy,Bengaluru,2024-08-29,12,502554.83999999997,795322.5599999997,2024-10-04
C00021,Aarav,Das,Pune,2023-11-28,9,501692.83999999997,1648314.1199999999,2024-08-30
C00302,Karan,Malhotra,Pune,2023-09-12,7,494690.92000000004,940131.9,2024-12-02
C00051,Priya,Malhotra,Hyderabad,2023-02-10,6,494627.85,1533934.9000000001,2024-06-22
C00077,Tara,Reddy,Kolkata,2024-08-21,12,494507.3900000001,1134136.95,2024-08-16
C00024,Pooja,Reddy,Pune,2023-08-05,7,494303.24000000005,670894.79,2024-10-30
C00397,Sneha,Joshi,Delhi,2023-02-12,9,493650.73000000004,818813.99,2024-11-03
C00046,Sneha,Patel,Pune,2023-10-06,7,493405.0,549284.4700000001,2024-11-11
C00150,Sara,Kapoor,Mumbai,2023-07-14,10,490662.7800000001,1360418.8,2024-10-18
C00231,Tara,Patel,Jaipur,2024-11-11,6,489996.97000000003,1686822.2799999998,2024-11-08
C00217,Tara,Nair,Kolkata,2024-11-23,9,489660.0200000001,1059751.59,2024-12-23
C00166,Sneha,Iyer,Mumbai,2024-08-23,6,487876.9799999999,1691695.75,2024-07-12
C00373,Rohan,Singh,Chennai,2024-09-04,7,487249.77000000014,1684713.2499999995,2024-11-04
C00249,Nikhil,Iyer,Mumbai,2024-09-18,9,486484.12,953975.5700000002,2024-10-28
C00242,Anaya,Singh,Bhubaneswar,2024-09-09,8,485752.9600000001,1053658.9300000002,2024-12-16
C00338,Nikhil,Patel,Jaipur,2023-12-27,9,484937.62000000005,1187597.2800000003,2024-12-26
C00023,Sneha,Chatterjee,Jaipur,2023-05-09,5,483004.56999999995,1492561.23,2024-12-04
C00063,Arjun,Reddy,Pune,2024-11-11,11,482374.61000000004,1282712.7899999998,2024-09-18
C00098,Sara,Rao,Kolkata,2024-02-21,8,481870.85,992947.03,2024-12-20
C00193,Rohan,Reddy,Ahmedabad,2023-02-13,7,481275.49,1184064.65,2024-11-24
C00148,Aarav,Joshi,Bhubaneswar,2024-11-05,6,480866.4200000001,390305.73,2024-03-21
C00044,Sneha,Rao,Bhubaneswar,2023-11-06,8,480784.6800000001,1190648.9999999998,2024-06-27
C00345,Priya,Gupta,Delhi,2024-02-11,7,480004.33999999997,894665.5900000001,2024-06-24
C00252,Priya,Mehta,Kolkata,2023-08-18,7,478903.20000000007,1369743.9500000002,2024-09-27
C00037,Sneha,Sharma,Jaipur,2023-11-18,5,477988.42,1016960.9500000001,2023-11-04
C00204,Dev,Singh,Kolkata,2024-08-17,8,477867.0099999999,1131597.3000000003,2024-05-25
C00343,Sneha,Gupta,Mumbai,2023-01-18,11,475397.1599999999,898953.88,2024-12-08
C00184,Aarav,Patel,Mumbai,2023-10-07,8,472357.93,416832.2199999999,2023-11-15
C00060,Arjun,Gupta,Delhi,2023-02-15,9,470104.79,1221775.94,2024-09-19
C00190,Aditya,Kapoor,Delhi,2023-11-12,6,469817.08999999997,1573391.48,2024-12-23
C00156,Dev,Sharma,Pune,2023-09-28,5,469241.99000000005,245403.57,2024-09-17
C00226,Kabir,Chatterjee,Bhubaneswar,2024-12-23,9,464982.26999999996,1009963.4599999998,2024-12-05
C00097,Karan,Gupta,Bengaluru,2024-09-02,9,463474.08,1276383.0799999998,2024-06-02
C00064,Dev,Mehta,Ahmedabad,2023-01-01,11,462563.82,898115.5900000001,2024-11-18
C00221,Riya,Joshi,Bengaluru,2024-01-16,8,461400.01,1192516.7,2024-08-27
C00160,Isha,Iyer,Jaipur,2024-07-04,6,459619.86,1058737.88,2024-11-16
C00132,Rahul,Kapoor,Jaipur,2024-05-16,8,456580.51999999996,1464419.3900000001,2024-12-29
C00327,Sneha,Reddy,Delhi,2024-03-02,7,455923.0099999999,1485057.4000000004,2024-10-11
C00085,Diya,Chatterjee,Delhi,2023-02-01,8,455360.00000000006,1129661.14,2024-12-13
C00240,Priya,Malhotra,Chennai,2024-06-15,9,455168.64,1006463.58,2024-12-24
C00011,Sara,Kapoor,Chennai,2023-11-29,8,453770.83,1470130.8100000003,2024-12-25
C00031,Diya,Reddy,Mumbai,2023-12-14,6,450845.56,941611.67,2024-09-07
C00087,Priya,Patel,Mumbai,2024-09-12,9,449955.51000000007,913934.9700000001,2024-12-02
C00319,Isha,Das,Delhi,2023-02-04,9,448650.47000000003,1047997.3999999998,2024-08-11
C00395,Vihaan,Iyer,Kolkata,2024-07-04,9,446865.58999999997,1123917.97,2024-11-28
C00342,Aarav,Sharma,Pune,2024-06-28,6,445984.97000000015,613607.5599999999,2024-11-11
C00115,Sara,Kapoor,Pune,2023-06-02,8,445505.04000000004,612060.0900000001,2024-11-29
C00334,Nikhil,Verma,Bhubaneswar,2024-04-25,8,445080.93000000005,1288288.97,2024-09-12
C00056,Aarav,Kapoor,Pune,2023-07-17,7,443996.15,1054545.33,2024-12-26
C00358,Dev,Nair,Pune,2024-01-05,6,443488.47,869817.6800000002,2024-08-16
C00312,Dev,Gupta,Bengaluru,2023-01-04,8,442378.31999999995,1364914.4099999997,2024-05-17
C00009,Priya,Nair,Ahmedabad,2023-08-03,10,441713.33,880172.8299999997,2024-12-11
C00144,Rahul,Patel,Bhubaneswar,2023-08-26,8,439547.19000000006,853248.69,2024-07-21
C00258,Kabir,Gupta,Jaipur,2023-06-18,5,438919.0,556818.2,2024-05-05
C00179,Sneha,Sharma,Hyderabad,2024-08-23,7,435124.78999999986,751271.1599999999,2024-12-24
C00059,Tara,Nair,Ahmedabad,2023-11-18,8,434420.32,1268515.8499999999,2024-10-06
C00117,Vihaan,Mehta,Chennai,2024-07-06,11,433284.38,392909.08999999997,2024-12-26
C00109,Pooja,Das,Kolkata,2024-09-25,9,432865.36000000004,1270734.9200000004,2024-10-30
C00169,Karan,Sharma,Bengaluru,2023-06-28,6,431703.95000000007,728469.1200000001,2024-05-30
C00335,Rahul,Joshi,Ahmedabad,2023-08-15,7,430322.11,511667.02,2024-01-25
C00364,Rohan,Nair,Delhi,2023-09-15,7,430183.4500000001,380923.6900000001,2024-05-13
C00350,Vihaan,Sharma,Mumbai,2023-03-18,5,429980.9399999999,967521.46,2024-11-10
C00182,Priya,Verma,Ahmedabad,2023-10-13,8,427178.77999999997,986254.4400000001,2024-11-04
C00118,Karan,Das,Ahmedabad,2023-09-14,7,426519.03,1054644.6099999999,2024-08-23
C00165,Aarav,Sharma,Bengaluru,2023-12-08,9,425859.80000000005,809891.3000000002,2024-05-31
C00381,Anaya,Sharma,Mumbai,2024-12-28,8,425592.58999999997,1237803.7599999998,2024-10-02
C00384,Aarav,Rao,Delhi,2024-09-20,7,421184.12999999995,674097.47,2024-03-27
C00292,Sara,Kapoor,Bengaluru,2023-08-27,6,420631.42000000004,695356.9700000001,2024-12-03
C00192,Meera,Patel,Hyderabad,2024-01-25,5,419476.29,1019596.9100000001,2024-04-01
C00265,Nikhil,Reddy,Hyderabad,2024-05-10,7,416357.14,1101840.11,2024-12-05
C00141,Nikhil,Patel,Bhubaneswar,2024-12-11,7,416261.0,1166081.97,2024-12-23
C00119,Rahul,Sharma,Kolkata,2024-11-19,8,414885.26,895820.8799999999,2024-08-27
C00140,Anaya,Iyer,Bengaluru,2023-04-03,9,413582.06,1303545.9800000002,2024-11-12
C00314,Tara,Nair,Jaipur,2024-01-27,7,413567.73999999993,1096073.5999999999,2024-07-27
C00022,Sara,Sharma,Bengaluru,2023-09-04,7,412912.91000000003,989998.2300000002,2024-08-27
C00377,Sneha,Das,Ahmedabad,2024-12-05,8,412524.43999999994,1138469.8100000003,2024-08-17
C00151,Isha,Malhotra,Ahmedabad,2024-10-04,9,411991.97000000003,715663.2099999997,2024-12-27
C00251,Priya,Rao,Mumbai,2023-03-08,7,409775.36000000004,707803.3499999999,2024-09-08
C00195,Meera,Chatterjee,Bengaluru,2024-09-24,8,409335.19,1012920.03,2024-12-30
C00238,Priya,Joshi,Chennai,2023-02-18,8,409085.9799999999,964418.67,2024-12-29
C00072,Pooja,Joshi,Mumbai,2024-05-31,7,405395.30999999994,781256.1799999999,2024-06-01
C00288,Sneha,Malhotra,Chennai,2023-10-08,10,403363.36000000004,589693.43,2024-07-20
C00152,Priya,Rao,Mumbai,2023-05-15,8,401142.77,1120526.4400000002,2024-07-02
C00281,Diya,Das,Chennai,2024-05-06,6,400931.29000000004,1158234.53,2024-11-13
C00032,Tara,Patel,Jaipur,2023-10-13,6,400223.72000000003,1128271.61,2024-04-16
C00143,Meera,Patel,Kolkata,2023-03-22,9,397576.64999999997,880967.7,2024-11-30
C00172,Riya,Joshi,Kolkata,2024-02-16,8,397360.82999999996,743872.33,2024-12-11
C00396,Sneha,Mehta,Hyderabad,2023-04-26,6,396140.75,100280.04000000001,2024-08-28
C00142,Anaya,Nair,Mumbai,2024-01-19,5,395793.12,1267599.7899999998,2024-10-14
C00004,Vihaan,Chatterjee,Delhi,2023-01-07,7,393669.91000000003,865246.02,2024-12-11
C00042,Aarav,Singh,Jaipur,2024-09-28,7,389552.0,1046873.7400000001,2024-08-26
C00048,Aarav,Nair,Jaipur,2023-05-14,6,389430.92,788490.4199999999,2024-12-27
C00083,Karan,Nair,Bengaluru,2024-01-24,5,388331.12,793891.0800000001,2024-12-10
C00122,Karan,Reddy,Jaipur,2024-12-11,7,387259.15,998240.61,2024-02-05
C00299,Meera,Rao,Hyderabad,2024-04-14,4,386519.07999999996,1248402.6500000001,2024-11-19
C00178,Rohan,Verma,Mumbai,2023-03-29,6,385969.88,794237.6900000001,2024-04-05
C00188,Vihaan,Singh,Delhi,2024-11-08,6,384951.92,945379.3,2024-09-25
C00400,Pooja,Patel,Pune,2023-07-31,7,384742.88999999996,390465.83,2024-12-25
C00102,Karan,Verma,Ahmedabad,2024-07-02,12,384705.6099999999,705733.69,2024-11-04
C00074,Riya,Kapoor,Pune,2023-09-02,4,383430.1,1035403.27,2024-10-08
C00311,Tara,Singh,Bhubaneswar,2024-07-31,7,382557.6700000001,886181.7799999999,2024-12-29
C00003,Aarav,Mehta,Ahmedabad,2023-07-23,6,382058.7299999999,919359.1700000002,2024-05-03
C00227,Vihaan,Iyer,Bengaluru,2023-06-03,7,381826.38999999996,335101.71,2024-12-13
C00310,Rahul,Singh,Jaipur,2023-04-04,6,381110.62,1052812.9,2024-11-13
C00250,Rohan,Singh,Hyderabad,2023-06-26,7,380913.0,1186720.39,2024-11-29
C00186,Aditya,Iyer,Hyderabad,2024-01-21,8,380209.3,278512.73,2024-12-29
C00073,Riya,Singh,Jaipur,2023-09-23,9,379338.79,1017476.6000000002,2024-09-10
C00209,Karan,Verma,Ahmedabad,2024-07-25,8,378833.1200000001,1114240.5200000003,2024-11-12
C00391,Meera,Mehta,Kolkata,2023-06-20,8,377289.68,602914.2500000002,2024-12-27
C00157,Rahul,Reddy,Ahmedabad,2024-10-15,6,374241.6500000001,184423.89,2024-04-09
C00067,Anaya,Iyer,Ahmedabad,2023-07-23,8,370196.13,969437.8900000004,2024-12-30
C00279,Aarav,Nair,Bhubaneswar,2023-12-06,7,369650.3600000001,663478.4199999999,2024-08-04
C00065,Karan,Singh,Mumbai,2024-03-28,8,368710.92999999993,1041161.5100000001,2024-11-18
C00071,Nikhil,Patel,Kolkata,2024-04-20,7,368516.45,882884.3700000003,2024-06-11
C00101,Karan,Nair,Delhi,2024-12-20,8,368087.99,887980.4500000002,2024-09-24
C00058,Isha,Malhotra,Ahmedabad,2023-09-25,5,365805.51000000007,500467.57999999996,2024-11-06
C00234,Rahul,Rao,Mumbai,2023-12-07,6,365314.97,660747.2699999999,2024-11-04
C00296,Dev,Chatterjee,Bhubaneswar,2024-05-22,7,363582.06,154209.15,2024-08-21
C00282,Kabir,Joshi,Bhubaneswar,2024-11-28,4,363270.1,982964.4000000001,2024-10-25
C00385,Arjun,Gupta,Mumbai,2024-12-21,8,362971.62999999995,644875.6100000001,2024-12-07
C00005,Karan,Verma,Bhubaneswar,2023-04-05,7,361526.48,939344.5899999999,2024-10-22
C00333,Dev,Singh,Kolkata,2024-06-30,6,356693.42000000004,1098115.84,2024-11-26
C00322,Pooja,Chatterjee,Jaipur,2024-11-19,8,356364.15,703690.3800000001,2024-12-12
C00133,Sneha,Reddy,Chennai,2024-04-11,5,353125.43000000005,816848.58,2024-09-03
C00326,Riya,Iyer,Bhubaneswar,2023-08-19,7,353022.73999999993,1142639.2,2024-08-23
C00210,Kabir,Nair,Chennai,2023-03-25,8,352591.66,916727.5800000001,2024-12-06
C00125,Aditya,Nair,Pune,2024-09-29,7,347135.47,1045086.8299999998,2024-08-15
C00244,Dev,Nair,Kolkata,2024-06-09,6,347113.59,865061.44,2024-11-03
C00260,Pooja,Mehta,Mumbai,2023-04-06,7,346301.28,884556.5600000003,2024-09-06
C00091,Priya,Mehta,Chennai,2024-03-14,7,345992.73,773918.8400000001,2024-10-21
C00308,Priya,Verma,Delhi,2024-07-31,6,345657.49,1008121.19,2024-12-06
C00336,Tara,Gupta,Delhi,2023-06-06,7,343053.48000000004,870789.6699999998,2024-12-03
C00050,Diya,Joshi,Pune,2024-01-14,5,341482.07,819579.4399999998,2024-11-10
C00057,Priya,Kapoor,Bhubaneswar,2024-06-05,6,339489.17,349138.69,2024-11-04
C00224,Aditya,Nair,Hyderabad,2023-08-30,7,339462.89,345472.64,2024-09-11
C00113,Sara,Gupta,Delhi,2024-12-24,5,339435.93999999994,1129204.8800000001,2023-09-27
C00386,Priya,Nair,Jaipur,2023-07-21,6,339235.66000000003,575637.33,2024-06-19
C00347,Dev,Reddy,Mumbai,2024-01-22,4,336802.8900000001,560426.3999999999,2024-08-28
C00025,Dev,Kapoor,Delhi,2024-10-27,7,336731.85,745611.78,2024-12-05
C00304,Diya,Kapoor,Pune,2023-05-02,7,335376.13,643542.57,2024-12-18
C00153,Arjun,Patel,Pune,2024-07-06,4,335277.52,1062139.63,2024-05-31
