customer_id,first_name,last_name,city,lifetime_value
C00105,Anaya,Rao,Bhubaneswar,516295.84
C00195,Meera,Chatterjee,Bengaluru,515449.98
C00369,Dev,Gupta,Jaipur,514648.69
C00262,Rohan,Sharma,Chennai,508733.85
C00296,Dev,Chatterjee,Bhubaneswar,508437.87
C00272,Kabir,Malhotra,Bhubaneswar,508235.58
C00245,Diya,Patel,Ahmedabad,507830.82
C00129,Aditya,Rao,Jaipur,507639.64
C00236,Diya,Gupta,Pune,502539.83
C00311,Tara,Singh,Bhubaneswar,501821.26
C00333,Dev,Singh,Kolkata,499475.67
C00276,Diya,Patel,Ahmedabad,498908.33
C00255,Tara,Chatterjee,Kolkata,496100.62
C00186,Aditya,Iyer,Hyderabad,494627.85
C00027,Rohan,Rao,Bengaluru,494303.24
C00075,Karan,Nair,Mumbai,494092.42
C00292,Sara,Kapoor,Bengaluru,493405.0
C00110,Anaya,Joshi,Bengaluru,493366.53
C00324,Tara,Mehta,Jaipur,492973.13
C00158,Sneha,Nair,Pune,492277.11
C00329,Diya,Gupta,Ahmedabad,490207.24
C00223,Rohan,Malhotra,Chennai,490179.84
C00224,Aditya,Nair,Hyderabad,489559.36
C00030,Priya,Reddy,Bengaluru,487876.98
C00118,Karan,Das,Ahmedabad,484142.72
C00388,Pooja,Patel,Mumbai,480004.34
C00220,Aditya,Reddy,Bhubaneswar,478903.2
C00126,Sneha,Patel,Ahmedabad,478583.7
C00019,Aditya,Chatterjee,Jaipur,477452.27
C00377,Sneha,Das,Ahmedabad,477029.34
C00336,Tara,Gupta,Delhi,472357.93
C00392,Pooja,Sharma,Jaipur,471575.03
C00142,Anaya,Nair,Mumbai,464296.99
C00399,Sara,Iyer,Mumbai,463252.0
C00328,Karan,Kapoor,Delhi,462807.88
C00322,Pooja,Chatterjee,Jaipur,462804.75
C00091,Priya,Mehta,Chennai,460712.0
C00309,Rahul,Mehta,Delhi,459279.78
C00299,Meera,Rao,Hyderabad,457403.13
C00216,Kabir,Patel,Bhubaneswar,456561.68
C00035,Dev,Sharma,Chennai,456458.83
C00231,Tara,Patel,Jaipur,456448.42
C00038,Meera,Sharma,Delhi,455923.01
C00149,Pooja,Rao,Hyderabad,451691.31
C00205,Rahul,Kapoor,Bhubaneswar,450225.27
C00356,Sneha,Reddy,Ahmedabad,449955.51
C00373,Rohan,Singh,Chennai,446605.61
C00172,Riya,Joshi,Kolkata,445505.04
C00063,Arjun,Reddy,Pune,444016.12
C00052,Sneha,Malhotra,Mumbai,443870.48
C00387,Karan,Das,Kolkata,442124.66
C00020,Pooja,Iyer,Jaipur,441451.91
C00094,Nikhil,Reddy,Bengaluru,439440.37
C00350,Vihaan,Sharma,Mumbai,435819.7
C00109,Pooja,Das,Kolkata,434799.67
C00242,Anaya,Singh,Bhubaneswar,434600.6
C00165,Aarav,Sharma,Bengaluru,434485.64
C00314,Tara,Nair,Jaipur,431703.95
C00021,Aarav,Das,Pune,431271.09
C00078,Aarav,Nair,Jaipur,428389.1
C00067,Anaya,Iyer,Ahmedabad,425130.02
C00278,Rahul,Nair,Kolkata,424209.0
C00246,Diya,Das,Bengaluru,422787.76
C00254,Pooja,Malhotra,Jaipur,420631.42
C00247,Rahul,Patel,Bengaluru,420070.87
C00343,Sneha,Gupta,Mumbai,414990.18
C00014,Sneha,Gupta,Mumbai,414109.33
C00264,Riya,Iyer,Mumbai,413567.74
C00007,Priya,Das,Bengaluru,413422.24
C00107,Riya,Verma,Bhubaneswar,412912.91
C00207,Nikhil,Mehta,Chennai,412631.15
C00268,Pooja,Reddy,Delhi,408303.69
C00380,Riya,Nair,Bengaluru,407895.19
C00032,Tara,Patel,Jaipur,406278.31
C00113,Sara,Gupta,Delhi,406033.78
C00287,Anaya,Chatterjee,Hyderabad,405988.49
C00054,Vihaan,Patel,Delhi,404962.25
C00303,Karan,Gupta,Delhi,404366.85
C00029,Rahul,Singh,Chennai,404259.71
C00023,Sneha,Chatterjee,Jaipur,402008.55
C00146,Anaya,Kapoor,Chennai,401142.77
C00080,Karan,Kapoor,Ahmedabad,398093.76
C00274,Sneha,Gupta,Hyderabad,397292.93
C00058,Isha,Malhotra,Ahmedabad,396814.35
C00081,Sneha,Sharma,Chennai,396140.75
C00156,Dev,Sharma,Pune,394712.48
C00325,Karan,Rao,Jaipur,393376.76
C00017,Aarav,Kapoor,Bengaluru,393210.42
C00230,Sara,Rao,Ahmedabad,392990.4
C00283,Nikhil,Nair,Ahmedabad,392384.0
C00009,Priya,Nair,Ahmedabad,391940.13
C00298,Aditya,Singh,Hyderabad,389864.76
C00249,Nikhil,Iyer,Mumbai,386519.08
C00288,Sneha,Malhotra,Chennai,385969.88
C00139,Dev,Nair,Delhi,384667.53
C00013,Dev,Malhotra,Jaipur,384508.24
C00398,Anaya,Joshi,Bengaluru,382557.67
C00267,Isha,Gupta,Chennai,382546.75
C00315,Kabir,Kapoor,Mumbai,382459.43
C00051,Priya,Malhotra,Hyderabad,379545.3
C00045,Sneha,Gupta,Bengaluru,378460.0
C00351,Karan,Sharma,Chennai,377289.68
C00037,Sneha,Sharma,Jaipur,377220.39
C00161,Tara,Das,Chennai,375714.95
C00043,Vihaan,Patel,Kolkata,375639.58
C00241,Pooja,Joshi,Pune,375510.01
C00055,Arjun,Joshi,Delhi,374241.65
C00279,Aarav,Nair,Bhubaneswar,373460.65
C00025,Dev,Kapoor,Delhi,372935.71
C00143,Meera,Patel,Kolkata,371273.98
C00160,Isha,Iyer,Jaipur,368129.06
C00153,Arjun,Patel,Pune,366398.51
C00310,Rahul,Singh,Jaipur,365805.51
C00295,Sara,Mehta,Bhubaneswar,365314.97
C00010,Meera,Mehta,Jaipur,364336.12
C00189,Aditya,Verma,Kolkata,363270.1
C00364,Rohan,Nair,Delhi,362626.68
C00177,Isha,Nair,Kolkata,362216.11
C00390,Dev,Reddy,Jaipur,360940.7
C00289,Priya,Chatterjee,Kolkata,356693.42
C00169,Karan,Sharma,Bengaluru,354891.99
C00201,Karan,Joshi,Pune,354709.88
C00306,Kabir,Singh,Jaipur,353924.58
C00326,Riya,Iyer,Bhubaneswar,353832.11
C00400,Pooja,Patel,Pune,353498.11
C00062,Aditya,Gupta,Mumbai,352156.66
C00357,Anaya,Chatterjee,Mumbai,351860.32
C00368,Dev,Nair,Hyderabad,351205.88
C00345,Priya,Gupta,Delhi,350503.17
C00256,Nikhil,Kapoor,Ahmedabad,349139.33
C00012,Vihaan,Verma,Kolkata,348771.83
C00005,Karan,Verma,Bhubaneswar,347768.36
C00378,Aditya,Patel,Bengaluru,347135.47
C00111,Arjun,Kapoor,Jaipur,345992.73
C00065,Karan,Singh,Mumbai,345657.49
C00176,Arjun,Reddy,Chennai,344000.61
C00086,Kabir,Singh,Pune,343586.7
C00053,Tara,Sharma,Delhi,342883.01
C00273,Rahul,Mehta,Kolkata,341482.07
C00179,Sneha,Sharma,Hyderabad,340872.51
C00131,Tara,Nair,Ahmedabad,337189.79
C00214,Arjun,Iyer,Jaipur,335277.52
C00263,Pooja,Kapoor,Pune,334603.01
C00026,Sara,Verma,Bhubaneswar,333332.28
C00125,Aditya,Nair,Pune,330112.52
C00284,Riya,Joshi,Kolkata,327545.86
C00269,Meera,Singh,Bengaluru,326605.29
C00130,Kabir,Reddy,Pune,323420.19
C00183,Pooja,Kapoor,Pune,322315.37
C00367,Kabir,Gupta,Mumbai,320603.14
C00047,Aditya,Singh,Bhubaneswar,317932.13
C00003,Aarav,Mehta,Ahmedabad,317861.81
C00294,Anaya,Nair,Ahmedabad,313915.98
C00371,Nikhil,Chatterjee,Kolkata,311103.82
C00028,Aditya,Iyer,Ahmedabad,310441.15
C00170,Rohan,Singh,Delhi,310118.28
C00114,Vihaan,Chatterjee,Jaipur,310013.72
C00147,Riya,Verma,Pune,309801.15
C00212,Kabir,Kapoor,Hyderabad,306356.52
C00098,Sara,Rao,Kolkata,303474.84
C00104,Anaya,Sharma,Jaipur,302582.99
C00074,Riya,Kapoor,Pune,301054.05
C00180,Tara,Joshi,Jaipur,300358.09
C00312,Dev,Gupta,Bengaluru,300019.17
C00033,Isha,Sharma,Delhi,298854.93
C00213,Aarav,Nair,Kolkata,298515.53
C00209,Karan,Verma,Ahmedabad,298220.43
C00317,Tara,Mehta,Delhi,297187.07
C00218,Sara,Mehta,Delhi,296629.89
C00076,Arjun,Verma,Delhi,295347.81
C00270,Dev,Mehta,Pune,295091.51
C00173,Rohan,Malhotra,Ahmedabad,294328.02
C00202,Vihaan,Das,Bhubaneswar,294287.91
C00286,Vihaan,Das,Delhi,291545.84
C00050,Diya,Joshi,Pune,291285.63
C00002,Rohan,Das,Ahmedabad,289872.15
C00257,Meera,Chatterjee,Jaipur,289311.7
C00396,Sneha,Mehta,Hyderabad,289140.36
C00162,Vihaan,Sharma,Hyderabad,288797.72
C00348,Rohan,Singh,Bengaluru,288773.81
C00297,Anaya,Das,Jaipur,288451.21
C00016,Pooja,Verma,Jaipur,286947.88
C00124,Aditya,Joshi,Delhi,286195.85
C00374,Sneha,Sharma,Delhi,286094.28
C00152,Priya,Rao,Mumbai,284930.48
C00164,Vihaan,Iyer,Ahmedabad,284033.1
C00340,Tara,Patel,Jaipur,283298.42
C00171,Pooja,Sharma,Bhubaneswar,283011.7
C00366,Dev,Chatterjee,Ahmedabad,282212.11
C00382,Sara,Mehta,Kolkata,282092.09
C00096,Karan,Sharma,Pune,281363.26
C00085,Diya,Chatterjee,Delhi,280123.29
C00056,Aarav,Kapoor,Pune,278500.58
C00082,Kabir,Joshi,Kolkata,278355.56
C00259,Anaya,Joshi,Pune,277567.65
C00313,Sneha,Sharma,Mumbai,277366.23
C00261,Meera,Kapoor,Bhubaneswar,277217.76
C00383,Sara,Chatterjee,Chennai,274689.14
C00163,Isha,Kapoor,Chennai,274223.75
C00339,Diya,Mehta,Bhubaneswar,274167.6
C00372,Kabir,Kapoor,Chennai,272996.11
C00088,Anaya,Verma,Chennai,270728.3
C00191,Anaya,Iyer,Chennai,268752.43
C00121,Rohan,Singh,Mumbai,267586.75
C00308,Priya,Verma,Delhi,266886.2
C00048,Aarav,Nair,Jaipur,265981.55
C00352,Rohan,Gupta,Jaipur,265413.18
C00394,Riya,Patel,Bhubaneswar,265245.66
C00132,Rahul,Kapoor,Jaipur,262361.7
C00136,Karan,Joshi,Mumbai,261354.99
C00353,Karan,Reddy,Chennai,261161.7
C00196,Sara,Reddy,Hyderabad,260548.34
C00101,Karan,Nair,Delhi,259250.03
C00057,Priya,Kapoor,Bhubaneswar,259217.13
C00193,Rohan,Reddy,Ahmedabad,259153.44
C00097,Karan,Gupta,Bengaluru,258885.6
C00331,Arjun,Malhotra,Delhi,257286.99
C00238,Priya,Joshi,Chennai,253977.54
C00266,Priya,Reddy,Kolkata,253541.83
C00092,Riya,Verma,Mumbai,250026.53
C00293,Kabir,Sharma,Delhi,249093.55
C00090,Anaya,Joshi,Bhubaneswar,247723.86
C00151,Isha,Malhotra,Ahmedabad,246126.87
C00334,Nikhil,Verma,Bhubaneswar,245708.8
C00395,Vihaan,Iyer,Kolkata,244893.92
C00134,Sara,Joshi,Chennai,244382.14
C00059,Tara,Nair,Ahmedabad,244201.97
C00225,Isha,Joshi,Kolkata,243758.29
C00280,Pooja,Singh,Delhi,242715.85
C00354,Sara,Joshi,Chennai,240921.79
C00258,Kabir,Gupta,Jaipur,240317.06
C00041,Sara,Gupta,Bengaluru,239108.62
C00252,Priya,Mehta,Kolkata,238458.51
C00128,Isha,Singh,Pune,237634.2
C00034,Meera,Reddy,Mumbai,237239.53
C00384,Aarav,Rao,Delhi,234906.76
C00095,Vihaan,Malhotra,Chennai,233180.05
C00290,Vihaan,Rao,Jaipur,231985.01
C00157,Rahul,Reddy,Ahmedabad,231870.28
C00301,Aditya,Nair,Kolkata,230543.42
C00073,Riya,Singh,Jaipur,226993.65
C00116,Pooja,Rao,Chennai,226126.6
C00187,Rahul,Das,Bengaluru,220468.92
C00112,Rohan,Patel,Bhubaneswar,219697.83
C00393,Aditya,Kapoor,Kolkata,219568.76
C00341,Nikhil,Nair,Kolkata,219480.43
C00307,Arjun,Chatterjee,Jaipur,219471.47
C00071,Nikhil,Patel,Kolkata,219186.97
C00068,Rohan,Singh,Kolkata,215623.85
C00344,Isha,Malhotra,Pune,213526.32
C00222,Anaya,Verma,Chennai,211722.67
C00338,Nikhil,Patel,Jaipur,209826.95
C00203,Diya,Nair,Jaipur,208363.12
C00239,Dev,Rao,Kolkata,205560.1
C00122,Karan,Reddy,Jaipur,205361.33
C00061,Priya,Reddy,Pune,205210.73
C00140,Anaya,Iyer,Bengaluru,200414.5
C00265,Nikhil,Reddy,Hyderabad,199767.92
C00362,Sara,Das,Pune,199675.22
C00174,Rahul,Mehta,Kolkata,198689.02
C00093,Tara,Patel,Kolkata,198279.73
C00108,Kabir,Patel,Chennai,197631.99
C00190,Aditya,Kapoor,Delhi,197514.96
C00060,Arjun,Gupta,Delhi,196170.21
C00106,Rahul,Gupta,Pune,195587.71
C00335,Rahul,Joshi,Ahmedabad,195559.42
C00275,Sneha,Nair,Bhubaneswar,193262.68
C00175,Aditya,Das,Jaipur,191397.97
C00250,Rohan,Singh,Hyderabad,190954.63
C00389,Karan,Verma,Jaipur,189903.32
C00198,Priya,Nair,Mumbai,188763.07
C00150,Sara,Kapoor,Mumbai,186493.67
C00204,Dev,Singh,Kolkata,184131.13
C00217,Tara,Nair,Kolkata,183964.88
C00243,Priya,Das,Bengaluru,182304.48
C00089,Dev,Rao,Bengaluru,178195.42
C00072,Pooja,Joshi,Mumbai,177872.26
C00070,Tara,Iyer,Bengaluru,176348.28
C00221,Riya,Joshi,Bengaluru,176208.84
C00022,Sara,Sharma,Bengaluru,175325.42
C00361,Dev,Sharma,Jaipur,175258.66
C00302,Karan,Malhotra,Pune,174757.65
C00234,Rahul,Rao,Mumbai,174496.58
C00199,Pooja,Patel,Kolkata,172074.01
C00182,Priya,Verma,Ahmedabad,171537.13
C00363,Vihaan,Singh,Kolkata,171331.43
C00006,Nikhil,Mehta,Ahmedabad,168823.81
C00397,Sneha,Joshi,Delhi,166371.54
C00233,Priya,Gupta,Bengaluru,159061.76
C00077,Tara,Reddy,Kolkata,157746.05
C00227,Vihaan,Iyer,Bengaluru,156025.03
C00127,Sara,Rao,Delhi,156010.03
C00015,Aditya,Singh,Chennai,154444.5
C00178,Rohan,Verma,Mumbai,149352.13
C00277,Aditya,Patel,Pune,148271.07
C00119,Rahul,Sharma,Kolkata,146363.43
C00115,Sara,Kapoor,Pune,144640.98
C00347,Dev,Reddy,Mumbai,137922.18
C00248,Aarav,Rao,Pune,135923.62
C00291,Vihaan,Patel,Jaipur,134661.79
C00049,Tara,Mehta,Jaipur,134006.99
C00305,Isha,Kapoor,Kolkata,133260.74
C00208,Tara,Chatterjee,Bengaluru,130901.39
C00155,Sara,Joshi,Bengaluru,130252.86
C00244,Dev,Nair,Kolkata,129496.94
C00323,Sara,Reddy,Mumbai,126935.34
C00260,Pooja,Mehta,Mumbai,126659.25
C00064,Dev,Mehta,Ahmedabad,122338.31
C00184,Aarav,Patel,Mumbai,120714.0
C00355,Karan,Sharma,Hyderabad,119252.62
C00342,Aarav,Sharma,Pune,112955.18
C00281,Diya,Das,Chennai,111760.06
C00123,Diya,Singh,Chennai,107818.54
C00300,Anaya,Das,Chennai,106512.68
C00330,Sneha,Iyer,Bhubaneswar,97983.85
C00379,Isha,Joshi,Jaipur,95799.76
C00229,Nikhil,Verma,Ahmedabad,94426.28
C00066,Rohan,Gupta,Delhi,92757.28
C00008,Sara,Joshi,Mumbai,92500.08
C00370,Meera,Kapoor,Delhi,85452.38
C00102,Karan,Verma,Ahmedabad,85078.71
C00200,Rahul,Chatterjee,Ahmedabad,81890.24
C00211,Kabir,Das,Hyderabad,81405.02
C00327,Sneha,Reddy,Delhi,76050.52
C00099,Nikhil,Chatterjee,Pune,75261.79
C00337,Riya,Mehta,Kolkata,63394.6
C00084,Riya,Sharma,Bengaluru,62820.0
C00226,Kabir,Chatterjee,Bhubaneswar,58653.7
C00031,Diya,Reddy,Mumbai,58589.62
C00237,Aditya,Reddy,Pune,55771.64
C00166,Sneha,Iyer,Mumbai,54693.32
C00385,Arjun,Gupta,Mumbai,44833.9
C00376,Karan,Chatterjee,Jaipur,43359.2
C00144,Rahul,Patel,Bhubaneswar,20564.07
C00069,Dev,Iyer,Bengaluru,14856.86
C00159,Tara,Verma,Bengaluru,8564.03
